floor_type,lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,sw_psf,vol_per_area_in,M0_kipft,qu_psf,punch_ratio,punch_ok,vu_max_psi,has_studs,n_stud_cols,stud_rails_max,stud_per_rail_max,defl_ratio,defl_ok,defl_in,defl_limit_in,col_min_in,col_max_in,col_rho_max,As_cs_in2,As_ms_in2,As_total_in2,integrity_ok,n_transfer_bars,runtime_s,h_drop_in,a_drop1_ft,a_drop2_ft,stud_strategy
flat_plate,16.0,16.0,12.007874015748031,50.0,FEA (studs=never),6.404199475065617,79.29388728298053,6.404199475065617,83.9200377723685,199.15266473957664,0.9662806993160412,true,183.33887213393976,false,0,0,0,0.10010692622504336,true,0.0534253936984046,0.5336832895888015,18.0,18.0,0.019506172839506175,6.4,2.4,8.799999999999999,false,0,3.451,0.0,0.0,0.0,never
flat_plate,20.0,20.0,12.007874015748031,50.0,FEA (studs=never),8.00524934383202,99.11735910372566,8.00524934383202,188.5772586266002,222.94083092447076,0.9235673508404362,true,175.2345840734162,false,0,0,0,0.10206081852588328,true,0.06808519171127383,0.6671041119860017,18.0,23.999999999999996,0.019506172839506175,10.6,3.5999999999999996,14.2,false,0,6.108,0.0,0.0,0.0,never
flat_plate,24.0,24.0,12.007874015748031,50.0,FEA (studs=never),9.606299212598426,118.9408309244708,9.606299212598426,363.0871707879598,246.7289971093649,0.9690118258147461,true,183.85706695277665,false,0,0,0,0.1064056876193482,true,0.08518040609947822,0.8005249343832022,20.0,27.999999999999993,0.02925925925925926,16.400000000000002,5.199999999999999,21.6,false,0,8.093,0.0,0.0,0.0,never
flat_plate,28.0,28.0,12.007874015748031,50.0,FEA (studs=never),11.194225721784777,138.60181527127537,11.194225721784777,626.3154872897863,270.32217832553044,0.9549043098290197,true,181.1803539942488,false,0,0,0,0.17437984332741793,true,0.16267061062804844,0.9328521434820647,23.0,34.999999999999986,0.05487654320987655,23.8,7.0,30.800000000000004,false,0,10.061,0.0,0.0,0.0,never
flat_plate,16.0,16.0,12.007874015748031,50.0,FEA (studs=if_needed),6.404199475065617,79.29388728298053,6.404199475065617,83.9200377723685,199.15266473957664,0.9699315043119741,true,184.03156367875593,false,0,0,0,0.10073247622755453,true,0.05375923928154705,0.5336832895888015,18.0,18.0,0.019506172839506175,6.4,2.4,8.799999999999999,false,0,3.203,0.0,0.0,0.0,if_needed
flat_plate,20.0,20.0,12.007874015748031,50.0,FEA (studs=if_needed),8.00524934383202,99.11735910372566,8.00524934383202,188.5772586266002,222.94083092447076,0.9237050278330798,true,175.26070644610556,false,0,0,0,0.10186630224010663,true,0.067955429097184,0.6671041119860017,18.0,23.999999999999996,0.019506172839506175,10.6,3.5999999999999996,14.2,false,0,5.89,0.0,0.0,0.0,if_needed
flat_plate,24.0,24.0,12.007874015748031,50.0,FEA (studs=if_needed),9.606299212598426,118.9408309244708,9.606299212598426,363.0871707879598,246.7289971093649,0.9883860573523305,true,187.53306892723063,false,0,0,0,0.10206591606970064,true,0.08170631076445853,0.8005249343832022,20.0,29.999999999999993,0.034135802469135806,16.6,5.199999999999999,21.8,false,0,8.978,0.0,0.0,0.0,if_needed
flat_plate,28.0,28.0,12.007874015748031,50.0,FEA (studs=if_needed),11.194225721784777,138.60181527127537,11.194225721784777,626.3154872897863,270.32217832553044,0.954877969937023,true,181.17535635112685,false,0,0,0,0.18711476655554551,true,0.1745504110584868,0.9328521434820647,23.0,34.999999999999986,0.05487654320987655,23.8,7.0,30.800000000000004,false,0,9.813,0.0,0.0,0.0,if_needed
flat_plate,32.0,32.0,12.007874015748031,50.0,FEA (studs=if_needed),12.795275590551181,158.42528709202054,12.795275590551181,1020.4346473612654,294.11034451042457,1.0,true,219.02762877375605,true,4,4,3,0.3002570025929826,true,0.32015592468083776,1.0662729658792651,26.0,35.99999999999999,0.07,35.6,9.6,45.2,false,0,8.945,0.0,0.0,0.0,if_needed
flat_plate,36.0,36.0,12.007874015748031,50.0,FEA (studs=if_needed),14.39632545931759,178.2487589127657,14.39632545931759,1580.277885142555,317.8985106953188,1.0,true,277.04929302388445,true,8,8,3,0.4925295271235735,true,0.5908846142328962,1.1996937882764658,28.999999999999996,34.99999999999999,0.0734710743801653,47.8,12.399999999999999,60.199999999999996,false,0,5.895,0.0,0.0,0.0,if_needed
flat_plate,16.0,16.0,12.007874015748031,50.0,FEA (studs=always),6.404199475065617,79.29388728298053,6.404199475065617,83.9200377723685,199.15266473957664,0.9663498705279163,true,183.35199644862212,false,0,0,0,0.10006816993329239,true,0.05340471011313068,0.5336832895888015,18.0,18.0,0.019506172839506175,6.4,2.4,8.799999999999999,false,0,3.163,0.0,0.0,0.0,always
flat_plate,20.0,20.0,12.007874015748031,50.0,FEA (studs=always),8.00524934383202,99.11735910372566,8.00524934383202,191.14981886563413,222.94083092447076,0.8823635875379107,true,252.8197568528615,true,4,4,3,0.10213468253069286,true,0.06813446669261006,0.6671041119860017,18.0,18.0,0.019506172839506175,11.0,3.5999999999999996,14.6,true,0,2.125,0.0,0.0,0.0,always
flat_plate,24.0,24.0,12.007874015748031,50.0,FEA (studs=always),9.606299212598426,118.9408309244708,9.606299212598426,369.95225434992517,246.7289971093649,0.9500959229394657,true,278.9752760168698,true,8,8,3,0.10690850378947603,true,0.08558292298107661,0.8005249343832022,20.0,20.0,0.030864197530864196,17.4,5.199999999999999,22.599999999999998,false,0,3.224,0.0,0.0,0.0,always
flat_plate,28.0,28.0,12.007874015748031,50.0,FEA (studs=always),11.194225721784777,138.60181527127537,11.194225721784777,642.6449416236783,270.32217832553044,1.0,true,299.95546956971197,true,8,8,3,0.1836212159894258,true,0.17129144492451903,0.9328521434820647,23.0,23.0,0.06172839506172839,25.8,7.0,32.8,false,0,3.226,0.0,0.0,0.0,always
flat_plate,32.0,32.0,12.007874015748031,50.0,FEA (studs=always),12.795275590551181,158.42528709202054,12.795275590551181,1042.9299570786527,294.11034451042457,1.0,true,326.03264147269795,true,11,8,3,0.3453091653136897,true,0.36819382784432136,1.0662729658792651,26.0,28.0,0.0762,37.199999999999996,9.6,46.8,false,0,5.004,0.0,0.0,0.0,always
flat_plate,36.0,36.0,12.007874015748031,50.0,FEA (studs=always),14.39632545931759,178.2487589127657,14.39632545931759,1597.1599190604393,317.8985106953188,1.0,true,321.5217233801686,true,11,8,3,0.48736821818140574,true,0.5846926239556017,1.1996937882764658,28.999999999999996,32.99999999999999,0.07735537190082645,48.0,12.399999999999999,60.4,false,0,9.892,0.0,0.0,0.0,always
flat_slab,16.0,16.0,12.007874015748031,50.0,FEA (studs=never),5.821999522786926,72.08535207543687,5.821999522786926,80.27495144008228,190.50242249052422,0.6612515774624471,true,125.46366546963583,false,0,0,0,0.1199255131242031,true,0.0640022423497497,0.5336832895888015,18.0,18.0,0.019506172839506175,6.8,2.4,9.2,true,0,2.544,2.25,2.6684164479440073,2.6684164479440073,never
flat_slab,20.0,20.0,12.007874015748031,50.0,FEA (studs=never),7.277499403483655,90.10669009429607,7.277499403483655,181.87890473903786,212.12802811315524,0.9864997260543122,true,187.17516272782666,false,0,0,0,0.15624249974327875,true,0.10423001404571308,0.6671041119860017,18.0,18.0,0.019506172839506175,11.2,3.2,14.399999999999999,true,0,4.978,2.25,3.335520559930009,3.335520559930009,never
flat_slab,24.0,24.0,12.007874015748031,50.0,FEA (studs=never),8.732999284180387,108.12802811315528,8.732999284180387,348.2132900164857,233.75363373578634,0.9926183512892794,true,188.33609024131542,false,0,0,0,0.33180316705337165,true,0.265616708533539,0.8005249343832022,20.0,23.999999999999996,0.02438271604938272,17.999999999999996,5.2,23.2,true,0,7.156,2.25,4.002624671916011,4.002624671916011,never
flat_slab,28.0,28.0,12.007874015748031,50.0,FEA (studs=never),10.176568837986162,126.001650246614,10.176568837986162,604.7613861620392,255.20198029593675,0.9505758615249468,true,180.359088671739,false,0,0,0,0.4458436786847791,true,0.4159062313190251,0.9328521434820647,23.0,24.999999999999996,0.05555555555555555,26.599999999999998,7.0,33.599999999999994,false,0,8.378,4.25,4.664260717410323,4.664260717410323,never
flat_slab,32.0,32.0,12.007874015748031,50.0,FEA (studs=never),11.632068718682893,144.0229882654732,11.632068718682893,976.8431596755734,276.8275859185679,0.9824011295262831,true,186.39750871350884,false,0,0,0,0.5901272687474229,true,0.6292367530935448,1.0662729658792651,26.0,31.999999999999996,0.07,38.39999999999999,9.200000000000001,47.599999999999994,false,0,7.743,4.25,5.331364829396326,5.331364829396326,never
flat_slab,16.0,16.0,12.007874015748031,50.0,FEA (studs=if_needed),5.821999522786926,72.08535207543687,5.821999522786926,80.27495144008228,190.50242249052422,0.6632949443543444,true,125.8513670780623,false,0,0,0,0.12052906759006025,true,0.06432434928253436,0.5336832895888015,18.0,18.0,0.019506172839506175,6.8,2.4,9.2,true,0,3.543,2.25,2.6684164479440073,2.6684164479440073,if_needed
flat_slab,20.0,20.0,12.007874015748031,50.0,FEA (studs=if_needed),7.277499403483655,90.10669009429607,7.277499403483655,181.87890473903786,212.12802811315524,0.9882649619615598,true,187.5100926922916,false,0,0,0,0.16636559501043646,true,0.11098317252446002,0.6671041119860017,18.0,18.0,0.019506172839506175,11.6,3.2,14.8,true,0,3.566,2.25,3.335520559930009,3.335520559930009,if_needed
flat_slab,24.0,24.0,12.007874015748031,50.0,FEA (studs=if_needed),8.732999284180387,108.12802811315528,8.732999284180387,347.8877067081687,233.75363373578634,0.9303601572469339,true,176.52342847036317,false,0,0,0,0.2997444651884237,true,0.2399529183266909,0.8005249343832022,20.0,23.999999999999996,0.02438271604938272,17.999999999999996,5.0,23.0,true,0,5.635,2.25,4.002624671916011,4.002624671916011,if_needed
flat_slab,28.0,28.0,12.007874015748031,50.0,FEA (studs=if_needed),10.176568837986162,126.001650246614,10.176568837986162,604.7613861620392,255.20198029593675,0.9528003546359436,true,180.78115656394522,false,0,0,0,0.4222119648034708,true,0.39386133637069176,0.9328521434820647,23.0,24.999999999999996,0.05555555555555555,26.599999999999998,7.0,33.599999999999994,false,0,4.491,4.25,4.664260717410323,4.664260717410323,if_needed
flat_slab,32.0,32.0,12.007874015748031,50.0,FEA (studs=if_needed),11.632068718682893,144.0229882654732,11.632068718682893,976.1582243754682,276.8275859185679,0.9403916005828401,true,178.42676101998603,false,0,0,0,0.5889433721361473,true,0.6279743961425456,1.0662729658792651,26.0,31.999999999999996,0.07,38.2,9.200000000000001,47.400000000000006,false,0,7.922,4.25,5.331364829396326,5.331364829396326,if_needed
flat_slab,36.0,36.0,12.007874015748031,50.0,FEA (studs=if_needed),14.499999999999998,179.5324099568959,14.499999999999998,1607.9019519376593,319.4388919482751,1.0,true,194.86215177012514,true,4,4,3,0.4200265016401128,true,0.5039031849291381,1.1996937882764658,28.999999999999996,34.99999999999999,0.0734710743801653,47.199999999999996,12.400000000000002,59.6,false,0,9.953,4.25,5.9984689413823284,5.9984689413823284,if_needed
flat_slab,16.0,16.0,12.007874015748031,50.0,FEA (studs=always),5.821999522786926,72.08535207543687,5.821999522786926,80.27495144008228,190.50242249052422,0.6633902366360093,true,125.86944751727201,false,0,0,0,0.12052440505063264,true,0.06432186096315479,0.5336832895888015,18.0,18.0,0.019506172839506175,6.8,2.4,9.2,true,0,2.563,2.25,2.6684164479440073,2.6684164479440073,always
flat_slab,20.0,20.0,12.007874015748031,50.0,FEA (studs=always),7.277499403483655,90.10669009429607,7.277499403483655,181.87890473903786,212.12802811315524,0.9864467815869858,true,187.1651172214513,false,0,0,0,0.16451725482036716,true,0.1097501371833158,0.6671041119860017,18.0,18.0,0.019506172839506175,11.6,3.2,14.8,true,0,3.479,2.25,3.335520559930009,3.335520559930009,always
flat_slab,24.0,24.0,12.007874015748031,50.0,FEA (studs=always),8.732999284180387,108.12802811315528,8.732999284180387,350.4966371046726,233.75363373578634,0.8700791025467804,true,219.2844547895462,true,4,4,3,0.2861873920418455,true,0.22910014323559813,0.8005249343832022,20.0,20.0,0.030864197530864196,18.8,5.0,23.8,true,0,3.558,2.25,4.002624671916011,4.002624671916011,always
flat_slab,28.0,28.0,12.007874015748031,50.0,FEA (studs=always),10.176568837986162,126.001650246614,10.176568837986162,606.6992458607311,255.20198029593675,0.9021635930781746,true,197.90073316723777,true,4,4,3,0.41481056608161376,true,0.386956925708242,0.9328521434820647,23.0,23.0,0.05555555555555555,26.599999999999998,6.8,33.4,false,0,3.481,4.25,4.664260717410323,4.664260717410323,always
flat_slab,32.0,32.0,12.007874015748031,50.0,FEA (studs=always),11.632068718682893,144.0229882654732,11.632068718682893,984.3933020367027,276.8275859185679,1.0,true,226.68745634535892,true,4,4,3,0.6425454059426127,true,0.685128795706526,1.0662729658792651,26.0,26.0,0.07,37.6,9.599999999999998,47.199999999999996,false,0,3.478,4.25,5.331364829396326,5.331364829396326,always
flat_slab,36.0,36.0,12.007874015748031,50.0,FEA (studs=always),13.087568599379626,162.04432628433244,13.087568599379626,1513.5190097928562,298.4531915411989,1.0,true,254.2725068648026,true,4,4,3,0.7275028581462456,true,0.8727806598714257,1.1996937882764658,28.999999999999996,28.999999999999996,0.0734710743801653,50.599999999999994,12.8,63.4,false,0,2.419,4.25,5.9984689413823284,5.9984689413823284,always
